# sample; mag1 in nT; mag2 in nT; grad in nT
7446353;43647.44805028924020;43693.05414953210857;-45.60609924286827
7446354;43646.37799783296214;43688.81387038277899;-42.43587254981832
7446355;43645.19413734481350;43687.39538050314150;-42.20124315832783
7446356;43643.54292549254023;43683.22149914776674;-39.67857365521901
7446357;43643.69456459383946;43683.60596621029981;-39.91140161646028
7446358;43645.20176515159983;43682.94531717959762;-37.74355202800538
7446359;43649.82689877861412;43687.99589199090406;-38.16899321228686
7446360;43647.10216281153407;43683.14689099962561;-36.04472818810374
7446361;43647.43487746088795;43684.10996885674831;-36.67509139586227
7446362;43648.85149014536728;43683.70439086506667;-34.85290071970190
7446363;43650.20618593691324;43685.83543950735475;-35.62925357044116
7446364;43083.42946962304268;43019.34313314076280;64.08633648227756
7446365;nan;nan;nan
7446366;nan;nan;nan
7446367;nan;nan;nan
7446368;nan;nan;nan
7446369;nan;nan;nan
7446370;nan;nan;nan
7446371;nan;nan;nan
7446372;nan;nan;nan
7446373;nan;nan;nan
7446374;43321.54189991976455;43673.57307794337976;-352.03117802361550
7446375;43491.46576993221242;43681.89575029338448;-190.42998036117547
7446376;43563.88197173608205;43679.93291475307342;-116.05094301699324
7446377;43592.79926136755967;43681.28517804537842;-88.48591667781906
7446378;43610.48106846187875;43681.41421197704040;-70.93314351516132
7446379;43624.81847597476008;43686.90964780240756;-62.09117182764564
7446380;43627.70651009004359;43682.14295383540593;-54.43644374536237
7446381;43631.14589479480492;43682.56474847992649;-51.41885368511659
7446382;43635.86724376364145;43682.89800616212597;-47.03076239848507
7446383;43639.25341588582523;43685.10610342281143;-45.85268753699266
7446384;43645.45082984018518;43688.05580534983164;-42.60497550964235
7446385;43649.00996468907397;43691.28113824710454;-42.27117355802783
7446386;43654.44072901512118;43694.07712070105481;-39.63639168592493
7446387;43655.01897367817583;43694.82535261599696;-39.80637893782391
7446388;43656.71355643445713;43694.28664177220344;-37.57308533774597
7446389;43652.28255228086346;43690.33246474975022;-38.04991246890180
7446390;43657.43025056445913;43693.47812421649724;-36.04787365202772
7446391;43657.80620554684720;43694.48259621895704;-36.67639067211237
7446392;43658.79991122736101;43693.52691057212360;-34.72699934475726
7446393;43657.08069398318912;43692.58836049766978;-35.50766651448009
7446394;43064.20842916537367;43020.05489665821369;44.15353250715846
7446395;nan;nan;nan
7446396;nan;nan;nan
7446397;nan;nan;nan
7446398;nan;nan;nan
7446399;nan;nan;nan
7446400;nan;nan;nan
7446401;nan;nan;nan
7446402;nan;nan;nan
7446403;nan;nan;nan
7446404;43322.71285141542467;43674.30523192078545;-351.59238050535788
7446405;43496.36492681913660;43686.82003263725346;-190.45510581812172
7446406;43575.92674671755958;43691.87096993976593;-115.94422322220721
7446407;43605.02929813782976;43693.50162662225193;-88.47232848442401
7446408;43623.39367876707547;43693.70489393208118;-70.31121516500789
7446409;43628.09997249823937;43689.77889648007113;-61.67892398183175
7446410;43638.71861852695292;43693.04088333334948;-54.32226480639887
7446411;43643.12945875152946;43694.27089805193827;-51.14143930041552
7446412;43646.16788491750049;43692.88466713942034;-46.71678222192995
7446413;43646.40083023654734;43692.02572629202768;-45.62489605547058
7446414;43645.32444543623569;43687.78147947014804;-42.45703403392493
7446415;43644.36583254979632;43686.58482068565354;-42.21898813586107
7446416;43642.71984738043830;43682.41874954790546;-39.69890216746646
7446417;43642.92754704838444;43682.87303752218577;-39.94549047379995
7446418;43644.30572738316550;43682.05355710724689;-37.74782972407353
7446419;43648.98783859419200;43687.17599916814652;-38.18816057394962
7446420;43646.10783863126562;43682.20682332741126;-36.09898469615312
7446421;43645.76989031628909;43682.53023034074431;-36.76034002444950
7446422;43647.80257860946585;43682.73563503571495;-34.93305642624728
7446423;43649.27537784082233;43684.90653056161682;-35.63115272079950
7446424;43051.19933635655616;43025.64493031021993;25.55440604634523
7446425;nan;nan;nan
7446426;nan;nan;nan
7446427;nan;nan;nan
7446428;nan;nan;nan
7446429;nan;nan;nan
7446430;nan;nan;nan
7446431;nan;nan;nan
7446432;nan;nan;nan
7446433;nan;nan;nan
7446434;43323.11530273712560;43674.62499233387643;-351.50968959674623
7446435;43492.17406958207721;43682.83476106511807;-190.66069148303922
7446436;43564.56202004530496;43680.67966026940849;-116.11764022410080
7446437;43593.23545630415174;43681.72552962320333;-88.49007331905001
7446438;43610.46646935174795;43681.31988092752727;-70.85341157578176
7446439;43624.37478015839588;43686.49957013350650;-62.12478997510736
7446440;43627.31004429711174;43681.80674010103394;-54.49669580392745
7446441;43630.77714294088946;43682.23103614943830;-51.45389320854015
7446442;43635.44440346154443;43682.49957250376610;-47.05516904221994
7446443;43638.90549739118433;43684.73912703055976;-45.83362963938146
7446444;43644.97894306952367;43687.60569170511008;-42.62674863559096
7446445;43648.19030180898699;43690.49019919907732;-42.29989739009724
7446446;43654.05941581567458;43693.72029509142158;-39.66087927574049
7446447;43654.86854148769635;43694.70212786278717;-39.83358637509634
7446448;43656.90781747554138;43694.48642221833143;-37.57860474278940
7446449;43652.50139113305340;43690.53309426505439;-38.03170313200504
7446450;43657.57284772848652;43693.62762468902656;-36.05477696054317
7446451;43658.17476503591024;43694.87460534451384;-36.69984030859641
7446452;43658.35269532507664;43693.13004699293379;-34.77735166786231
7446453;43656.92290373952710;43692.46873588347808;-35.54583214394825
7446454;43064.65390608568123;43020.02547783016780;44.62842825550828
7446455;nan;nan;nan
7446456;nan;nan;nan
7446457;nan;nan;nan
7446458;nan;nan;nan
7446459;nan;nan;nan
7446460;nan;nan;nan
7446461;nan;nan;nan
7446462;nan;nan;nan
7446463;nan;nan;nan
7446464;43323.03968901340704;43674.80281149937218;-351.76312248596497
7446465;43496.14335374348593;43686.64945946969237;-190.50610572620624
7446466;43575.92043752702739;43691.92812540100567;-116.00768787398046
7446467;43604.98101824443438;43693.44961839812458;-88.46860015368928
7446468;43623.27677079055138;43693.58179449274030;-70.30502370218839
